"DATE","FORM","ID","INTERACTION","NAME","OVERDOSE","PRECAUTIONS","SIDEEFFECTS","USES"
"2023/06/17","form","2bd9e1ba-89aa-4051-bf30-4a9a298c64c9","default","name","default","default","default","1"
"2022/10/17","form","9d0acf0f-08e6-4e98-9bc8-67ab940d1b86","default","name","default","default","default","default"
"2022/10/17","form","989d1584-aa87-4104-9f0b-0a0b9ac9285f","fourth","name","fifth","third","second","first"
"2022/10/17","form","e5c7e430-47d9-456f-a594-2a168a44b0d3","default","name","default","default","default","first"
"2022/10/17","form","7f0915b7-2899-4025-a0f5-ca4abf426253","default","name","default","default","second","first"
"2022/10/17","form","bfb80576-8581-45c9-b722-37e7aeb63af4","default","name","default","third","second","first"
"2022/10/17","form","2098b437-23c1-480e-a916-7764284c0c01","fourth","name","default","third","second","first"
"2022/10/17","form","e66d686e-d737-41a7-953b-7f5fb09e5e0b","fourth","name","fifth","third","second","first"
"2022/12/15","pills","601eb766-2a77-4b2e-bdc8-c9217b26c41a","Некоторые продукты, которые могут взаимодействовать с этим препаратом, включают: ацетазоламид, другие ""разжижители крови"" (такие как варфарин, гепарин), кортикостероиды (такие как преднизолон), дихлорфенамид, растительные препараты (такие как гинкго билоба), кеторолак, метотрексат, мифепристон, вальпроевая кислота.","Aspirin","Симптомы передозировки могут включать: жгучую боль в горле/желудке, спутанность сознания, изменения психики/настроения, обморок, слабость, звон в ушах, лихорадку, учащенное дыхание, изменение количества мочи, судороги, потерю сознания.","Перед использованием этого лекарства проконсультируйтесь со своим врачом или фармацевтом, если у вас есть: кровотечение/нарушения свертываемости крови (такие как гемофилия, дефицит витамина К, низкое количество тромбоцитов).","Может возникнуть расстройство желудка и изжога.","Аспирин используется для снижения температуры и облегчения легкой и умеренной боли при таких состояниях, как мышечные боли, зубная боль, обычная простуда и головные боли."
"2022/12/15","pills","81e53e6e-f1f2-4372-b023-0884227ededa","Некоторые продукты, которые могут взаимодействовать с этим препаратом, включают: ацетазоламид, другие ""разжижители крови"" (такие как варфарин, гепарин), кортикостероиды (такие как преднизолон), дихлорфенамид, растительные препараты (такие как гинкго билоба), кеторолак, метотрексат, мифепристон, вальпроевая кислота.","Aspirin","Симптомы передозировки могут включать: жгучую боль в горле/желудке, спутанность сознания, изменения психики/настроения, обморок, слабость, звон в ушах, лихорадку, учащенное дыхание, изменение количества мочи, судороги, потерю сознания.","Перед использованием этого лекарства проконсультируйтесь со своим врачом или фармацевтом, если у вас есть: кровотечение/нарушения свертываемости крови (такие как гемофилия, дефицит витамина К, низкое количество тромбоцитов).","Может возникнуть расстройство желудка и изжога.","Аспирин используется для снижения температуры и облегчения легкой и умеренной боли при таких состояниях, как мышечные боли, зубная боль, обычная простуда и головные боли."
